logPeff
-5.0273342
-5.6946487
-5.0793548
-5.197226
-5.0793548
-6.6575775
-5.1163387
-6.5086384
-5.186419
-6.6989698
-5.3496923
-6.167491
-5.5590911
-5.7304869
-5.7958798
-6.5086384
-6.3665314
-6.9208188
-5.2652001
-5.782516
-6.167491
-5.7721133
-5.7304869
-5.4775558
-5.4596705
-5.8664613
-6.1079054
-5.4749551
-5.4801722
-5.6536469
-5.7721133
-5.6736641
-5.9956784
-5.5783958
-6.5850267
-7.3010302
-6.2441254
-5.5900669
-6.7695513
-5.1067934
-8.0
-5.8996296
-6.19382
-7.0
-6.3665314
-5.6736641
-7.0
-5.6073031
-6.1870866
-5.7721133
-6.8239088
-5.850781
-5.6126103
-7.0
-5.2090116
-5.068542
-6.1426673
-5.4317985
-6.8860564
-5.4377069
-5.7851563
-6.7212462
-5.3914738
-5.5406075
-6.9586072
-6.6197886
-5.9706163
-5.6595559
-5.6903696
-5.7904849
-7.154902
-5.3214817
-5.4236588
-5.0287242
-5.8446641
-5.442493
-5.1965427
-5.9281182
-6.4685211
-6.0506101
-6.1191864
-6.3372421
-7.154902
-5.2620125
-5.4282913
-5.939302
-7.09691
-5.6401644
-6.8239088
-5.5985994
-5.3990269
-5.8326826
-5.5482135
-6.7695513
-6.3372421
-6.1135092
-5.5734887
-5.3757181
-5.8996296
-5.159894
-5.9625735
-5.6536469
-6.7695513
-6.2839966
-5.3757181
-5.6989698
-6.124939
-5.3851027
-5.8096681
-5.5331326
-5.8181562
-5.7878122
-7.0
-6.9586072
-5.2612195
-5.2700257
-6.5850267
-5.4634414
-6.8538718
-5.4801722
-6.3767509
-5.9318142
-5.1106982
-5.5030704
-7.2218485
-6.6575775
-6.4436975
-6.9586072
-6.6989698
-5.0584884
-7.09691
-7.3010302
-4.9186525
-5.4412913
-6.3565474
-7.0457573
-5.5654311
-5.6108341
-5.5751185
-6.318759
-6.0604806
-5.8268137
-6.3372421
-6.3872161
-6.6777806
-5.4801722
-5.5900669
-6.2596374
-5.8068752
-6.124939
-5.3819518
-6.6575775
-6.2291479
-6.8860564
-6.19382
-6.1611509
-4.9948196
-6.6197886
-6.7695513
-5.6003261
-6.4202166
-6.2006593
-7.09691
-6.5686364
-6.4814858
-6.6575775
-5.3925447
-5.3872161
-5.4723701
-5.4248123
-5.4867826
-5.7011471
-6.8239088
-5.4317985
-6.1487417
-5.6252518
-5.4854522
-6.5086384
-6.2596374
-6.4317985
-5.442493
-6.6020598
-5.9430952
-5.5171266
-6.3979402
-5.0809221
-5.4329739
-5.4659739
-5.8153086
-5.3233066
-5.7328281
-6.1307683
-6.3767509
-6.8239088
-6.6197886
-5.9746943
-5.5590911
-7.3979402
-6.5376019
-6.8538718
-6.3872161
-6.1611509
-6.0915151
-7.3010302
-6.5528421
-6.5528421
-7.09691
-6.4685211
-5.3297544
-7.3979402
-5.223299
-5.4921441
-5.8386321
-5.7619538
-6.5528421
-5.6595559
-6.2924299
-7.09691
-6.1023731
-5.3565474
-5.9665761
-5.7594509
-4.9515581
-5.6635404
-6.0132284
-5.368556
-6.5850267
-5.9208188
-5.7328281
-5.6903696
-6.8860564
-5.5575204
-6.0809221
-6.070581
-6.4948502
-5.4571748
-5.4647059
-6.5086384
-5.7746906
-6.3565474
-5.2211256
-6.0087738
-5.3372421
-6.124939
-6.5686364
-5.8096681
-6.1135092
-7.09691
