,mae
0,0.1581337182621607
1,0.15923971496337352
2,0.15527157132138944
3,0.15908256506987573
4,0.15767386959092888
5,0.15759506964218079
6,0.15782062591548515
7,0.1583003546836107
8,0.15687329478384057
9,0.15903106706616324
10,0.1587421364821063
11,0.15618395834046853
12,0.15903845089613436
13,0.15792411785566954
14,0.15862006149864577
15,0.15764003566409324
16,0.15917592960877586
17,0.1557877970229592
18,0.15870412578805673
19,0.15613772550471286
20,0.16037372024333296
21,0.16082406775171051
22,0.15893864796221405
23,0.15711461750539235
24,0.15676497658152144
25,0.1578614344193473
26,0.15867389179878344
27,0.15707598056345237
28,0.1569577916412981
29,0.15829919013473184
30,0.16024802620459172
31,0.15895643911448584
32,0.15573878836514443
33,0.158551097897389
34,0.15628216425167474
35,0.15699569074668646
36,0.15760206183347844
37,0.15717794955229436
38,0.15445908143788528
39,0.15608692961845316
40,0.15771538558101256
41,0.1601217795609636
42,0.1582512067539618
43,0.15939911573787324
44,0.16195156176090036
45,0.15725990163358286
46,0.15947846038353267
47,0.15202240108184495
48,0.1559140192452622
49,0.15565563123487047
50,0.1597741325667137
51,0.1552372155364498
52,0.15828099313364138
53,0.15969739333244404
54,0.15589258405612144
55,0.1546797430993121
56,0.15888845079645267
57,0.15812064717240376
58,0.15811142587664817
59,0.1576119596940873
60,0.15721960859119122
61,0.15929668079900158
62,0.16010784839586126
63,0.1597737418095615
64,0.16243173675927733
65,0.15821112445658195
66,0.16016486915333566
67,0.15875601981609047
68,0.1583543773027505
69,0.1597017261302973
70,0.15260465465726403
71,0.15927028065378693
72,0.15849557890079824
73,0.1581080816677834
74,0.15725490718704577
75,0.15770842128150048
76,0.1580305830423547
77,0.15848877217661622
78,0.15766145924711694
79,0.15817384737159904
80,0.15686303518086364
81,0.15988207504925284
82,0.15682686990550504
83,0.15815992020514263
84,0.15604926808065414
85,0.15857393112964452
86,0.15679023177924994
87,0.15973371857710328
88,0.1555997717173331
89,0.1603682736020069
90,0.15920115613105096
91,0.15839204809472313
92,0.157770254904263
93,0.1568317506938826
94,0.15870671130740613
95,0.15900340596488938
96,0.15931664373470705
97,0.15718200934454843
98,0.15553067915940041
99,0.1555023774185776
100,0.15814492306692066
101,0.1571438502705603
102,0.15652631397790057
103,0.15803144533565014
104,0.1575798751108688
105,0.15810609118055619
106,0.16092180109901222
107,0.15705035827713074
108,0.1591154926239903
109,0.15604217398561326
110,0.15714468114353564
111,0.15875204735338327
112,0.15651785067294102
113,0.16266963933384002
114,0.1567976594954953
115,0.15631884121805473
116,0.15817790773107068
117,0.15906017263482208
118,0.15862538742183838
119,0.16042242988116479
120,0.15668468612187134
121,0.15798390287752823
122,0.15688825361744096
123,0.15742242242726376
124,0.15802176981649857
125,0.15762966244585652
126,0.1570944520445388
127,0.15967679551271802
128,0.1574022084532073
129,0.1584602878996833
130,0.15718094865056625
131,0.16008611672637552
132,0.15942017186402097
133,0.1578394638812427
134,0.1565665363510893
135,0.15660781339756655
136,0.15691973429258926
137,0.15617807615170137
138,0.15956965020742023
139,0.16056557495779808
140,0.1583828079533861
141,0.1572864252639013
142,0.15603548913217394
143,0.15862483117196327
144,0.15907143643475993
145,0.1572555987889768
146,0.15508326066838218
147,0.15848942467881935
148,0.15742778576985952
149,0.1606234286127831
150,0.15665874126807142
151,0.15640958295303922
152,0.15434294371585802
153,0.1589152522703871
154,0.15385939404470117
155,0.1573056494351035
156,0.15889891932860428
157,0.15654477893398125
158,0.1577940162808986
159,0.15841612294244825
160,0.15747420137252302
161,0.15766378529428304
162,0.15865440614375736
163,0.157947411599853
164,0.1579435943259012
165,0.15811362791786132
166,0.15585322346964925
167,0.15995187313077452
168,0.15750234685114317
169,0.15741895094001113
170,0.1600801948431407
171,0.15706294718752023
172,0.1599155728901472
173,0.1580309945473813
174,0.15873180465123973
175,0.15711930872496116
176,0.15872383127505033
177,0.1589487606867245
178,0.1588043057055068
179,0.1574124110786192
180,0.15680578957468325
181,0.1573667726808134
182,0.15894896522540028
183,0.15869049535599544
184,0.16077195505686967
185,0.15757902954309505
186,0.15859060358827715
187,0.1584599323983121
188,0.157643152779625
189,0.15797754524322485
190,0.15804062841396643
191,0.15967645483999263
192,0.1570399101492452
193,0.1571551264848252
194,0.16021762753484944
195,0.15904171462719424
196,0.1578376745961543
197,0.15970772193211316
198,0.16033067335369258
199,0.15983265522174425
200,0.16119754818616622
201,0.15718483363843422
202,0.15833149324889204
203,0.15743139226377545
204,0.1584375787142888
205,0.15924438416278697
206,0.15792334196095548
207,0.15690363632803164
208,0.15650607033962388
209,0.1547437102611323
210,0.1592015270988023
211,0.15690762625401405
212,0.15574088882780177
213,0.1562860298054172
214,0.15592290804547004
215,0.15842354137636233
216,0.15639049900402466
217,0.1580613731942798
218,0.15733477605766
219,0.1592538178252511
220,0.15993935164624584
221,0.15873903236897174
222,0.15842858156111767
223,0.15650139321179687
224,0.15897272526485312
225,0.1581066147013305
226,0.1574212241188259
227,0.1585702393535587
228,0.15657370762645953
229,0.1567711189939126
230,0.15859609519740137
231,0.16009254697743652
232,0.15644756313417504
233,0.16053662261294174
234,0.15776651115972717
235,0.15913103966893374
236,0.15750404614197605
237,0.15651579947889152
238,0.1608428685472561
239,0.15829861312817817
240,0.15615241861678467
241,0.15968716671368705
242,0.1593311129661881
243,0.15969260250331296
244,0.1590873473944044
245,0.15949409995380087
246,0.15969885712314774
247,0.1543363942088939
248,0.15921235962531183
249,0.15568668248028258
250,0.15959287694303778
251,0.15713151406178483
252,0.15666740849702107
253,0.15486375650108963
254,0.15937122593743844
255,0.15682276714200638
256,0.15682981705913382
257,0.15798363139386282
258,0.1583545895623262
259,0.15772745488933265
260,0.1600299363221153
261,0.15826438395887713
262,0.15950104858614444
263,0.156730530752632
264,0.15801657808610478
265,0.15765578595120713
266,0.1599177806463401
267,0.15910968864078928
268,0.157295654428199
269,0.15886769838091455
270,0.1557277673598463
271,0.15775433417455614
272,0.1577498996654038
273,0.1600119957036679
274,0.15635316201451915
275,0.15499479274825817
276,0.1565655230486222
277,0.15834880457187217
278,0.15652872014465485
279,0.15593687083876578
280,0.15870945568829092
281,0.1624140920998751
282,0.1567251966322025
283,0.15627837217918605
284,0.16018575634060725
285,0.15598897396580563
286,0.15704819054052155
287,0.156506333694648
288,0.157453258312301
289,0.15586188727678824
290,0.15963769447182838
291,0.1555008109950027
292,0.15703799787267333
293,0.1578988703330021
294,0.15946844668275278
295,0.15872159113258594
296,0.15892419798426052
297,0.15690345466030584
298,0.16036730920633965
299,0.15900560388897864
300,0.15849372897110955
301,0.15714842926613803
302,0.15574048464524082
303,0.15922948529172062
304,0.15928682790588766
305,0.1566346287866784
306,0.15796805268837041
307,0.1568075595975539
308,0.1564815859055741
309,0.15709352579194066
310,0.15473775610072915
311,0.1592264896556743
312,0.16102621494673283
313,0.15724289619607537
314,0.1606645982230904
315,0.15555482839366758
316,0.15722429338106503
317,0.15824014560566455
318,0.1567973460873095
319,0.15970008389283064
320,0.15619170253686526
321,0.16104137168084576
322,0.15757473598592053
323,0.159587135895828
324,0.16110598434952844
325,0.16420332132150392
326,0.15943897845082064
327,0.15712544592580283
328,0.16086258076822013
329,0.1595936788717461
330,0.15853081764922933
331,0.15791721973156228
332,0.1578631626157567
333,0.15832706249366824
334,0.1567329313614204
335,0.1591047224358553
336,0.15585712953845068
337,0.1584508243636983
338,0.15755152774911066
339,0.157967638203104
340,0.1594479701912123
341,0.15993945343024857
342,0.1586906756994334
343,0.15926794260811108
344,0.15825793458208784
345,0.15760024180486104
346,0.1564384252729489
347,0.15748580692204345
348,0.16231829650692262
349,0.1605865892064922
350,0.16106853502049331
351,0.157560570345008
352,0.16104577765648428
353,0.16009888086167223
354,0.1579707916430096
355,0.15752768826491828
356,0.15619221501422462
357,0.1604406477770713
358,0.1558337379703587
359,0.15894595794249075
360,0.15663311571015057
361,0.15942626291793127
362,0.15962802767243525
363,0.15819322659097912
364,0.15629684794438148
365,0.1578621665257274
366,0.15731904635754668
367,0.16060858645266787
368,0.15849016305653563
369,0.15830353273542208
370,0.1572110056942916
371,0.16013568321953958
372,0.16104081670643736
373,0.15826000961696854
374,0.15809585754411082
375,0.15548016331754974
376,0.15908457175557372
377,0.15644434225476472
378,0.15819580060360558
379,0.15469138073427618
380,0.15642833044749094
381,0.1580569624984065
382,0.1569100620896771
383,0.1580450126179632
384,0.15855870924790127
385,0.15829358152203335
386,0.15860954887339063
387,0.16018808648338223
388,0.16180305083621102
389,0.16196220864749872
390,0.15597619177085437
391,0.15925309609744537
392,0.15788886084856527
393,0.15648844057654065
394,0.15900335706036248
395,0.15743354154808586
396,0.1567886017413849
397,0.15810471017076844
398,0.158445629437325
399,0.1576745729144991
400,0.15907140500155936
401,0.1575160132573215
402,0.15823617983515256
403,0.15988183061486091
404,0.15857211289082682
405,0.15810356313656282
406,0.16177583017086206
407,0.1553457561337488
408,0.15889431569156748
409,0.1546046194615998
410,0.1595097692756412
411,0.1568755390592032
412,0.15862548295640239
413,0.15720343878613402
414,0.1590629379376558
415,0.15621809942710768
416,0.16120055411065567
417,0.15960442176091916
418,0.1586879975604268
419,0.15611438953004766
420,0.15958273437355605
421,0.15823868153747886
422,0.1593741116833027
423,0.15643615855456736
424,0.1576099650463425
425,0.1580478685175219
426,0.1578759976217472
427,0.15827715934847905
428,0.15626612077268828
429,0.15798509732267582
430,0.1592866627055721
431,0.15952178181201984
432,0.159951681092038
433,0.1564018799081394
434,0.15747698455377113
435,0.15719938997961913
436,0.15760520172424547
437,0.16016844432398547
438,0.16001839111005092
439,0.1598924321999497
440,0.15913176136807966
441,0.15705376778561334
442,0.15774483915598628
443,0.155523051581197
444,0.15840485399018103
445,0.15454380272449658
446,0.15909099685936653
447,0.1580710623414081
448,0.15791386630323906
449,0.15472979407995216
450,0.15811663168741577
451,0.1589308628182655
452,0.15930312024566534
453,0.15885260693654457
454,0.15798214909577704
455,0.1565880965627036
456,0.15627402797253184
457,0.16209211084153788
458,0.1577097986566287
459,0.15830577034456372
460,0.15716703829018325
461,0.15680549609827202
462,0.15944914845432073
463,0.15608389244639795
464,0.15594079053894153
465,0.1583409303641167
466,0.15829154498072917
467,0.15721117659784303
468,0.15769049218276013
469,0.1575017648646584
470,0.15780262608712417
471,0.15681813324989705
472,0.15716225075297166
473,0.15874263393154206
474,0.1557287810730035
475,0.1575459769444077
476,0.15616069294312634
477,0.15753113158040014
478,0.15952644607587949
479,0.15839598729082777
480,0.15879784024640922
481,0.15695006477687207
482,0.15834675610112212
483,0.15900079680617546
484,0.1569829899267045
485,0.15698624867438984
486,0.15711480743852718
487,0.1565482865148521
488,0.1570084479262758
489,0.15977671276312944
490,0.157655154422819
491,0.15591376440434782
492,0.15824632118021942
493,0.1565679656638097
494,0.16121645170400475
495,0.15934663758574746
496,0.15858330311030636
497,0.16054331698318797
498,0.15640169297116843
499,0.1599965233776182
500,0.15708875664551844
501,0.1585518654388255
502,0.15704294885082587
503,0.15688617335790556
504,0.15679833826922887
505,0.15782989361404562
506,0.15948206005867266
507,0.1563461948314502
508,0.15811187766746745
509,0.16390560595524648
510,0.15428122571076675
511,0.15897542112625396
512,0.1570813256000204
513,0.15748204105459387
514,0.15762104741427024
515,0.16008000957170512
516,0.15668258299834803
517,0.15424935420358557
518,0.1543935453421753
519,0.15673718661366093
520,0.15795528087102217
521,0.1601064483531588
522,0.1549299616262249
523,0.15986643502397857
524,0.15806781838241835
525,0.15770675026859662
526,0.160715287281933
527,0.15905229569164991
528,0.15487244541017386
529,0.15745268244477117
530,0.15588721017565565
531,0.15944934357450483
532,0.15825206938279696
533,0.15636806779816442
534,0.1558555932092826
535,0.15391924556356287
536,0.15862609711709452
537,0.15867098336178154
538,0.1577102634476693
539,0.1547608291553338
540,0.15871645726034828
541,0.1567492348186593
542,0.15666243460144172
543,0.15661073421306052
544,0.15450579319105578
545,0.16024467343220636
546,0.1557456431452443
547,0.15928723771129263
548,0.1597247184587649
549,0.16043522112783554
550,0.15594723119049092
551,0.15897635967711918
552,0.15880053073154615
553,0.1566341809732507
554,0.15364262671970916
555,0.1558432093214379
556,0.15883161008509009
557,0.15794616847632795
558,0.15848771432403516
559,0.15856076244955658
560,0.15929802703638293
561,0.1589275759082989
562,0.1557843280242232
563,0.15686322024347193
564,0.1573896721864754
565,0.1576737051771485
566,0.1606905881465295
567,0.15918593425695543
568,0.15864939111905607
569,0.16063679627789484
570,0.1612967943006868
571,0.15994755218444628
572,0.159776197025883
573,0.15926374791822892
574,0.15935321906382768
575,0.15852399111098944
576,0.15782809597958783
577,0.16088445860701658
578,0.16011609593742593
579,0.15702116937008728
580,0.1584581457628134
581,0.15985310125855998
582,0.158814340823171
583,0.1593845746507035
584,0.15772754280747803
585,0.16041762910637267
586,0.15804506450500175
587,0.1605629571970445
588,0.15693875239487134
589,0.15801827652948747
590,0.15634008811861946
591,0.15505376516916153
592,0.15824376277321847
593,0.1558690664968772
594,0.15765434901385458
595,0.15701505332838098
596,0.15828980657125669
597,0.160847974804663
598,0.15808346818572933
599,0.16057267666960062
600,0.1578305783725685
601,0.1581609634129231
602,0.15753092614540362
603,0.15661734079934542
604,0.15623873073846797
605,0.15721954882233452
606,0.15792390803671882
607,0.15580260149306246
608,0.1587920320006194
609,0.15804613610600787
610,0.15670395877120874
611,0.15890019513021525
612,0.15976858155463294
613,0.15951682250449917
614,0.1586888282312572
615,0.15548117130360553
616,0.15611278498270445
617,0.15944300476864054
618,0.15688525835046085
619,0.15796160166249754
620,0.15722586256929372
621,0.1604350102812193
622,0.1566339546836512
623,0.15915583332790628
624,0.1576790064374072
625,0.15808368355231547
626,0.1563142638092676
627,0.15787644148994184
628,0.15733664223174107
629,0.15742554953265872
630,0.15739896664557027
631,0.15706822059615458
632,0.15814672694870752
633,0.15714889142149294
634,0.15799945547229546
635,0.15840474825081854
636,0.15573429085643972
637,0.15757658008966252
638,0.15636650627215662
639,0.15810654520373552
640,0.15552260700267487
641,0.15736226124933328
642,0.1595697147182397
643,0.15720285710425447
644,0.15910585229198126
645,0.15886620743458846
646,0.15892708151119198
647,0.15538361917805418
648,0.15931282372018196
649,0.154539789397763
650,0.1600412225003092
651,0.15516790362397964
652,0.15656716268751855
653,0.15698982404950695
654,0.15807895713293715
655,0.15689875627018593
656,0.1585163292998004
657,0.158357173048838
658,0.15887394726325568
659,0.15984275287724758
660,0.15881620258624718
661,0.16061871569494313
662,0.1576248412879856
663,0.15438181781025304
664,0.1608737584137874
665,0.15724766878333826
666,0.15975096159294236
667,0.1602120579718562
668,0.1580626792181336
669,0.15778453026914355
670,0.15693965137655913
671,0.15933151481298677
672,0.15819863889271374
673,0.15730126339870937
674,0.1610585936275228
675,0.15853375314880577
676,0.15673507741814785
677,0.15710360378035404
678,0.15963874912909468
679,0.1609399244354577
680,0.15993588170611134
681,0.1582122137148129
