,roc_auc
0,0.8285580898554518
1,0.8301505253887805
2,0.8511422033436724
3,0.8351975115210634
4,0.8325466943478707
5,0.8420570977884511
6,0.8439536964664023
7,0.8301629041214105
8,0.8421906112618172
9,0.8434912623831536
10,0.8364389215648133
11,0.8278162500928404
12,0.8438449404582961
13,0.847833544950715
14,0.8331550206371157
15,0.8561768107433252
16,0.8402940125838658
17,0.8433825063750473
18,0.8456327831281412
19,0.8383602777080246
20,0.8409987161485872
21,0.8288622530000742
22,0.8442949958089149
23,0.8384690337161309
24,0.8328508574924932
25,0.8387979543260135
26,0.8511174458784125
27,0.8546931312181025
28,0.8475665180039823
29,0.8543518318755902
30,0.8336050759877345
31,0.8570645427119327
32,0.8449033220981598
33,0.845012078106266
34,0.8337385894611006
35,0.8528929098156275
36,0.828691603328818
37,0.8436742907870398
38,0.8445744014882772
39,0.8404275260572321
40,0.8295917140300555
41,0.8494878741471937
42,0.8521634487856463
43,0.8410358523464772
44,0.845645161860771
45,0.8549725368974652
46,0.8561396745454353
47,0.8475417605387223
48,0.8359393512836747
49,0.8371436251295347
50,0.8453286199835186
51,0.8383602777080246
52,0.8343221582850857
53,0.8588400066491477
54,0.8480289520872311
55,0.8160679486317963
56,0.8264908415062442
57,0.8334344263164782
58,0.8388227117912733
59,0.8594235754731328
60,0.85204231404491
61,0.8575269767951815
62,0.8353434037270596
63,0.8371436251295347
64,0.8355388108635756
65,0.849050197529205
66,0.8278162500928404
67,0.8465205150967486
68,0.8329843709658594
69,0.8386396833873871
70,0.8545596177447363
71,0.8291292799468069
72,0.8353434037270596
73,0.8499131720325523
74,0.8282539267108292
75,0.8279497635662066
76,0.8419359630477147
77,0.8503756061158013
78,0.835659945604312
79,0.8447326724269036
80,0.8408652026752209
81,0.8407069317365947
82,0.8438449404582961
83,0.8446955362290136
84,0.8417653133764585
85,0.8616738522262266
86,0.8497672798265562
87,0.8476752740120886
88,0.8438696979235559
89,0.8310134998921281
90,0.8344804292237119
91,0.8355016746656858
92,0.8353434037270596
93,0.8503879848484313
94,0.8386396833873871
95,0.833288534110482
96,0.8469581917147374
97,0.8427989375510622
98,0.847833544950715
99,0.8404399047898622
100,0.8315254489058969
101,0.8526135041362651
102,0.8221733164039429
103,0.8405857969958584
104,0.854851402156729
