,mae
0,0.39575162701263294
1,0.3979697975714226
2,0.4004066807921822
3,0.4006019282943944
4,0.396316219268326
5,0.3928678842369867
6,0.38430884332278215
7,0.39065706155282126
8,0.39644446424036317
9,0.4024702004873085
10,0.4078419177776916
11,0.3905003450459794
12,0.41519365507995254
13,0.39863850129335093
14,0.40773132326727063
15,0.4099604639512507
16,0.38068069064330556
17,0.389827468612278
18,0.39563056975648153
19,0.40459625400900145
20,0.3921781285274032
21,0.40192711146303695
22,0.38358944341263695
23,0.3877092909902832
24,0.3907746596447394
25,0.3794366673645115
26,0.37038283382818527
27,0.4050099075682308
28,0.394360959822043
29,0.3876731079646625
30,0.39136427068438984
31,0.404405927441484
32,0.40266551507029363
33,0.3907580376607362
34,0.4026808751839484
35,0.3851603350744311
36,0.39808822810236444
37,0.40841974004414683
38,0.3935468833824891
39,0.39633279014383943
40,0.3989918421150067
41,0.38410820514112703
42,0.3848592148673088
43,0.39373174440814773
44,0.41260001713001154
45,0.4082554832764707
46,0.39142595367735183
47,0.40539206326794075
48,0.38093990895436736
49,0.39780731892815585
50,0.40737895094314475
51,0.38598107801266135
52,0.3988416540730863
53,0.38361638357824024
54,0.3796602117815328
55,0.3961023246163542
56,0.40492786382807183
57,0.3836348157579111
58,0.39660164729556235
59,0.38761839418731264
60,0.413849421926325
61,0.4110409200768713
62,0.41120657780651526
63,0.39540279223370534
64,0.3956749061700351
65,0.38604536025450753
66,0.39766170405405543
67,0.40911200379244744
68,0.3950525948269514
69,0.3995075507572021
70,0.404617050483496
71,0.41004318631279835
72,0.4063425177424909
73,0.38310520925184444
74,0.3871561823800243
75,0.3948102515274076
76,0.40436239826193254
77,0.39267262293923066
78,0.3873268050338499
79,0.39237840973039323
80,0.3872584305255965
81,0.38114800115431474
82,0.4179053834062018
83,0.39089154714828434
84,0.39020415297347133
85,0.41238560138145075
86,0.4129716409764078
87,0.3801706286438994
88,0.394029860134706
89,0.3987152873586058
90,0.4109671726052919
91,0.4254676304606435
92,0.38150921064356247
93,0.3911124525078074
94,0.38676828608973024
95,0.4028214068478549
96,0.4124318329257251
97,0.3896355594823813
98,0.38972100702765194
99,0.38904659613602893
100,0.39777328092575653
101,0.4059849504461657
102,0.39960550122851946
103,0.39921611345817276
104,0.3927290685314034
105,0.3899088011554642
106,0.3860470318270691
107,0.40000104909624773
108,0.38633640473141917
109,0.3807374791170521
110,0.407133539740222
111,0.39384734134199345
112,0.39184868557948366
113,0.38416606055522834
114,0.3893447579181899
115,0.3808470802724831
116,0.38156739523602123
117,0.4145282898065956
118,0.3873276400626483
119,0.3729425340407023
120,0.4127977202106231
121,0.4016712058445099
122,0.40805477574977045
123,0.38320777161640257
124,0.394293791397635
125,0.40023365055370397
126,0.41182892571983687
127,0.40900091114137055
128,0.38611927678935937
129,0.39686487833837536
130,0.40312122580657894
131,0.3802138359130006
132,0.3952730773097536
133,0.3743059198915906
134,0.39820256352638417
135,0.400198864830542
136,0.3986590064463895
137,0.39956834924508117
138,0.3879867264376545
139,0.4029535110023945
140,0.39982123933689356
141,0.37459982317954005
142,0.38167274976428134
143,0.4117987133434923
144,0.40615049325781544
145,0.3891347255724128
146,0.40506794719630956
147,0.39368940468521646
148,0.38888411503063014
149,0.40170590100905135
150,0.39429529179830947
151,0.39324728959032096
152,0.40556110495006686
153,0.38797466615455983
154,0.393669070813819
155,0.3984946472923603
156,0.40096589173547714
157,0.39739068647279285
158,0.404106304128354
159,0.3796529113634253
160,0.378078564745416
161,0.38465638496914484
162,0.37576708791979374
163,0.39808173822226484
164,0.38589826460759097
165,0.39440755746531364
166,0.3892280474809379
167,0.4271658012651437
168,0.3944892146022825
169,0.37808007054736414
170,0.3930819075590672
171,0.3931833700991528
172,0.4013720406158511
173,0.39467843291675114
174,0.39832435052274145
175,0.3958163049504452
176,0.3917130585251463
177,0.3941759939627646
178,0.40178008768675477
179,0.3868706181884643
180,0.39565157701798265
181,0.4065189080344448
182,0.39696854929239317
183,0.3894048102505609
184,0.3943188824294055
185,0.3771377550668618
186,0.39861381302809373
187,0.4005884950187583
188,0.3935800840362365
189,0.41570297425046904
190,0.3874981385728473
191,0.3915206107365189
192,0.3999770486831437
193,0.3922141204722382
194,0.40923797644671345
195,0.36753784133725836
196,0.412315186039824
197,0.39295443288942444
198,0.42666572119207163
199,0.39851045236304505
200,0.38706524963804295
201,0.37423530389165455
202,0.38645263813749153
203,0.39857574016954456
204,0.3798826285754505
205,0.3917932699587432
206,0.3901988249895764
207,0.4140412396831604
208,0.38646509151685227
209,0.39071522968895506
210,0.4005911638093239
211,0.4178964078338763
212,0.3995638884319288
213,0.3980114333895185
214,0.39437548168229486
215,0.39423414244979404
216,0.37989223315260795
217,0.3927460203066519
218,0.4025932513179238
219,0.3805649134034394
220,0.369909679424512
221,0.40685113528116545
222,0.3896545098309724
223,0.39265444977048075
224,0.40077129588980814
225,0.39570026617794296
226,0.401715525923309
227,0.3964071535760697
228,0.3960612619736148
229,0.4122232654285554
230,0.40321656305148035
231,0.4002774151790097
232,0.3960708295913037
233,0.4018414181089487
234,0.3982281625722376
235,0.3871627786232017
236,0.389766354174014
237,0.3915500333692397
238,0.406483185161082
239,0.42553172665893235
240,0.40830165672280155
241,0.39810889377084
242,0.3977279215179453
243,0.3793089712995363
244,0.39004043606288724
245,0.3997277248193034
246,0.4027140888542084
247,0.39694439684628685
248,0.4018713881456191
249,0.3850754194723235
250,0.39356368622515303
251,0.3692167935089461
252,0.3981416446430224
253,0.3919036831858467
254,0.39322477957590957
255,0.3992385349187477
256,0.3807031878195052
257,0.3807732464994456
258,0.38845212047730776
259,0.40174676380245966
260,0.3997125119610608
261,0.37685044632794457
262,0.3957058244734616
263,0.39971462767546295
264,0.38864061041076714
265,0.4088802777322817
266,0.4160911256235039
267,0.4048835688132264
268,0.410947305995608
269,0.3983286097522998
270,0.3887365823581429
271,0.411988708651896
272,0.40072781132549956
273,0.3819310081302912
274,0.3783475149619145
275,0.37651518378152316
276,0.388113278144215
277,0.4046351334567746
278,0.39778947865924436
279,0.4031364315797638
280,0.40015502813843457
281,0.40762652056587634
282,0.40251734200569605
283,0.39137312140454655
284,0.41684537192281906
285,0.4058695089752329
286,0.4126359105117938
287,0.39051436145757507
288,0.40231840142809533
289,0.39796769698714707
