,mae
0,0.6324501318222095
1,0.6312324237962005
2,0.6393488705793103
3,0.6288716416145443
4,0.6345801426570081
5,0.6364736567610119
6,0.6300987740604271
7,0.6291619410717999
8,0.6343734192424119
9,0.633053326620865
10,0.6318778115859225
11,0.6378509232065729
12,0.6282344146541895
13,0.6301741469559096
14,0.6218327507646902
15,0.629353461925015
16,0.6333526484675684
17,0.6289462693209433
18,0.6281054424860163
19,0.6366684088458795
20,0.6322096818956077
21,0.6304039122083197
22,0.6298677796245613
23,0.6385928059662567
24,0.6306961968069867
25,0.6205884693843572
26,0.6363736477784309
27,0.6231895483729097
28,0.6340646701958621
29,0.631299861504431
30,0.6309424764352061
31,0.6347371234497068
32,0.6302984513735667
33,0.6298706429489944
34,0.6255354002876761
35,0.6384963118811099
36,0.6360217450719218
37,0.633356410557924
38,0.634777389697455
39,0.6384518192812134
40,0.634063405148818
41,0.6289118307596069
42,0.623497693132765
43,0.6326097658186175
44,0.6267512445482601
45,0.6352330921607167
46,0.6286720025723773
47,0.636229097927565
48,0.6381471193836208
49,0.6335714391353187
50,0.6313255140137447
51,0.6317818959090966
52,0.6402720372599535
53,0.6399394698411591
54,0.6245150719868068
55,0.6316487469076687
56,0.6310238218856886
57,0.6327651844940496
58,0.6324385550424447
59,0.6265176707583646
60,0.6335112646562091
61,0.6354774057960839
62,0.627333524402929
63,0.6267072631121555
64,0.6377203843036754
65,0.6300851444127793
66,0.6333310607962324
67,0.6289285821670755
68,0.6344998886925635
69,0.6390689636839556
70,0.6325872315103281
71,0.636606802439243
72,0.6278134574925137
73,0.6275646377342916
74,0.6292615786621413
75,0.637878867414152
76,0.6257145260595051
77,0.6409149780723641
78,0.6380822738464695
79,0.6272585109938279
80,0.6316202321983048
81,0.6351714168128219
82,0.6299880428081523
83,0.6331039205934155
84,0.6355909283563514
85,0.6308459588561542
86,0.6342230528367123
87,0.6303612188459234
88,0.6322141774966574
89,0.6287400274678211
90,0.6398111497925859
91,0.6320937084288045
92,0.6304721438668301
93,0.6359938006898941
94,0.6288750868629309
95,0.6314319613573459
96,0.6276151239011041
97,0.6352923667472579
98,0.634017473809875
99,0.6337013575312495
100,0.640108325256739
101,0.6317820768020848
102,0.6377861852316953
103,0.6333771242608042
104,0.6412021299649173
105,0.6241551473896028
106,0.6326726043448596
107,0.6287545493325105
108,0.6304674280392325
109,0.6261855102334885
110,0.6374482277082336
111,0.6318551594220256
112,0.6373269799328012
113,0.619438215802223
114,0.6220808954680923
115,0.6399577276044073
116,0.6316927584623644
117,0.6318019007329773
118,0.6337607197680898
119,0.6348665691667229
120,0.6306528194026324
121,0.6342994957123749
122,0.6376417154227297
123,0.6289570436392017
124,0.6248811873636109
125,0.6269023167282775
126,0.6291316582215177
127,0.6193784376770158
128,0.6392758294871124
129,0.628918252764677
130,0.6318278032130155
131,0.6420206893387932
132,0.6391542515734143
133,0.627194898861597
134,0.6348964437159167
135,0.6403312648584046
136,0.6316178942864266
137,0.6376558808658077
138,0.6263140544047778
139,0.6273696836001634
140,0.6364757609637637
