,r2
190,0.6793522453302001
191,0.6518639851124943
192,0.65501397584692
193,0.6700531909800271
194,0.680255842242582
195,0.6459101598065322
196,0.6705297976728951
197,0.6563566333105972
198,0.6477255098109993
199,0.6768830071285974
200,0.6730806961749298
201,0.6778952483293766
202,0.6656306580197031
203,0.692964652174817
204,0.661884585718485
205,0.6758405522994746
206,0.6686095635145555
207,0.6536178077076444
208,0.6541974819913148
209,0.6770943993919124
210,0.6622867279186918
211,0.6677616284360388
212,0.672458537861776
213,0.6699990013023973
214,0.6767619343512352
215,0.6777062935135664
216,0.6425316335773483
217,0.6726816388342325
218,0.658531846805197
219,0.6593514361151138
220,0.6822225778681612
221,0.6905721004692196
222,0.6716276639838928
223,0.674902597789113
224,0.6468008934335505
225,0.6641312489783602
226,0.6766792060182489
227,0.6630813726934063
228,0.67058395445284
229,0.6751184376455011
230,0.6899487214388362
231,0.6395242691599282
232,0.6710941711751596
233,0.6627452264139005
234,0.6742842191470556
235,0.6729427473585896
236,0.6683870082489891
237,0.6598753759610964
238,0.666448363207802
239,0.6672872575256892
240,0.6572143806437845
241,0.6765462567729583
242,0.6712521874900352
243,0.6518598068780095
244,0.6505733195296804
245,0.6569678738927787
246,0.6644528185759164
247,0.668452004696958
248,0.6623481116975909
249,0.6701151597349341
250,0.6810052365884034
251,0.6679392082593536
252,0.6918638459690549
253,0.6696408838611374
254,0.6590762827844612
255,0.6723931436624423
256,0.665621721124092
257,0.6600985879714022
258,0.6514676808567383
259,0.6659436690284036
260,0.6755241106226455
261,0.681545724593156
262,0.6777769575494648
263,0.6668389675525082
264,0.6718954330503021
265,0.680280788910578
266,0.6613330058785705
267,0.6570254099042854
268,0.6876102776109587
269,0.6796862072373069
270,0.6516441521285508
271,0.6859917713889355
272,0.6637236606939837
273,0.6709507604359742
274,0.6751369737233716
275,0.6763459127003382
276,0.6847853784602667
277,0.6557104287922735
278,0.6676094307233129
279,0.6514235350176094
280,0.6512991145472105
281,0.6652538174447971
282,0.6483432204219881
283,0.656718164447592
284,0.6767700218451355
285,0.6711938115271066
286,0.6667210187846502
287,0.6803093469445277
288,0.6694987735739676
289,0.6462629148733463
290,0.6661471791801988
291,0.6725564555275263
292,0.647131948207697
293,0.6835944344067278
294,0.6685624640399082
295,0.6799283405049188
296,0.6618036494533925
297,0.6713999652382813
298,0.6580664031778978
299,0.6792400252666719
300,0.6526344432776312
301,0.6836633555885965
302,0.6554897546560552
303,0.6615672002107468
304,0.6901461823735648
305,0.650569506305268
306,0.6824832243181911
307,0.6517206666353499
308,0.6701243097401819
309,0.6711170581296798
310,0.6730280263243117
311,0.6728358605026188
312,0.6799429900138512
313,0.6654858707574789
314,0.6434530041990434
315,0.6799597943200467
316,0.6777163763099258
317,0.6644115359494858
318,0.6292747290824593
319,0.6902310118211763
320,0.6491955932213526
321,0.701518227573104
322,0.6880560732722336
323,0.6800352447361822
324,0.6484396185067465
325,0.6559934655973385
326,0.6658861148716857
327,0.6702204832082399
328,0.6710434537369047
329,0.6537673400993921
330,0.6752057644039063
331,0.6510878384882504
332,0.6803258986032579
333,0.663513938306797
334,0.6799659218073371
335,0.6652388283120387
336,0.6809389984204706
337,0.6744903820062528
338,0.6629531813211833
339,0.6853898877739368
340,0.6664671859189282
341,0.6687478424376851
342,0.6811740177911292
343,0.6735347883776404
344,0.6547198779218018
345,0.6672891883006495
346,0.6680349869002662
347,0.6851991015418716
348,0.6794738738967574
349,0.6722516014350686
350,0.6733165610238608
351,0.6603591468535679
352,0.6626107004336563
353,0.6741522205895487
354,0.6841091062785047
355,0.6620853656355922
356,0.6523909681087692
357,0.688012685798673
358,0.6697008839383425
359,0.6491523382540554
360,0.6636371880116683
361,0.6831534583740612
362,0.6680328479513064
363,0.6547587592531502
364,0.6545098312025932
365,0.6699936329468599
366,0.6924138157967457
367,0.6821193747289936
368,0.6999137796868043
369,0.6633525146231334
370,0.6633275454123116
371,0.662325201924899
372,0.6558600356584734
373,0.6295573645858943
374,0.648244597509221
375,0.6732337136580733
376,0.6548875235811555
377,0.669810777548758
378,0.6596759055721361
379,0.6631986564697869
380,0.6545424301142618
381,0.661099042097385
382,0.6937941254491459
383,0.6804588185617093
384,0.6683329803561515
385,0.6837317662383087
