,mae
0,0.3792907452240531
1,0.38496277697940934
2,0.38111904247917794
3,0.38957280525419447
4,0.3896119932968625
5,0.3816768687385419
6,0.38117811786931044
7,0.3863788384454394
8,0.3805224215648651
9,0.37758429222153933
10,0.3819481378058318
11,0.38694096556602564
12,0.37603617022116065
13,0.3859681364304383
14,0.3869763741542446
15,0.3918324112764928
16,0.37549462743928197
17,0.3905470960604063
18,0.3870886332720972
19,0.384016350622785
20,0.38417655304370246
21,0.38442036014827197
22,0.3898412900762147
23,0.38315255519179436
24,0.37995506161880793
25,0.38367203461733057
26,0.3835280871706065
27,0.3873656421886203
28,0.37978339790535526
29,0.3806619576114425
30,0.3806770272015079
31,0.38131954279154356
32,0.3766741264188214
33,0.39105268990549685
34,0.38926135807655393
35,0.3855100197867692
36,0.38082508243017615
37,0.3840823048117152
38,0.37194537176362635
39,0.38668196498359647
40,0.3753341149781377
41,0.3839807428053172
42,0.3850746739771997
43,0.38140395200114785
44,0.3808360693670883
45,0.3887157427642988
46,0.39016861946027653
47,0.37360178047947235
48,0.387779074715757
49,0.3824787225356669
50,0.39061209894044124
51,0.3741654116200329
52,0.3861311704435998
53,0.379169517610135
54,0.38050817253799835
55,0.3820750983765639
56,0.38348967852475846
57,0.37950726951182456
58,0.3730157799187926
59,0.38551075788634803
60,0.38044429169808175
61,0.3830466269944026
62,0.38444904455903767
63,0.3768547223122007
64,0.3839292535298981
65,0.38428750277641327
66,0.38194595214778576
67,0.3798085499227993
68,0.3710969916396869
69,0.3863144048076179
70,0.38122842920882477
71,0.38763957454164616
72,0.38878721838109276
73,0.38881068865819685
74,0.3847298353000079
75,0.3861333692532939
76,0.38211555177794176
77,0.37765891046566363
78,0.37971528671514454
79,0.38634864739781377
80,0.3835229432232993
81,0.3875580797506544
82,0.3860366035528566
83,0.3855524178312602
84,0.38614757514195963
85,0.3740943982060428
86,0.38694260217505366
87,0.39156512468621735
88,0.38553153074333774
89,0.3774202544508408
90,0.39034023780241267
91,0.3835069657350584
92,0.3848743077619178
93,0.3848421859879726
94,0.370265457172622
95,0.38008155829842294
96,0.39024469579706844
97,0.3850773137393538
98,0.3819493942175515
99,0.3916142916002952
100,0.37682344014927516
101,0.38616802722576127
102,0.3841572977369337
103,0.3884202085654912
104,0.38827654229283387
105,0.3840878387011727
106,0.38470701642636546
107,0.38415118155868805
108,0.3815951808519237
109,0.380598005526502
110,0.39124365545272954
111,0.38084532276803523
112,0.37833813580443526
113,0.3760673959351902
114,0.3797428177630474
115,0.3788778634163849
116,0.3887226361035617
117,0.38258847446817384
118,0.3852342028565269
119,0.38438554380914935
120,0.3787861348694076
121,0.3790081783340823
122,0.3856401547876837
123,0.3839697883947084
124,0.37760312913612704
125,0.37902617727347576
126,0.3824876855630988
127,0.3963399182739848
128,0.3854450850811004
129,0.37365071091599505
130,0.3920966351655289
131,0.37688600230312974
132,0.3836532873723918
133,0.3819747748715961
134,0.38845965245778435
135,0.3799527993091779
136,0.38179280489655626
137,0.38067853782907474
138,0.3827321630709581
139,0.3836553435187001
140,0.3762770259832274
141,0.3800923701710752
142,0.3829146606403907
143,0.38714155650893306
144,0.3760231173662866
145,0.38846522744875106
146,0.3888174331383425
147,0.3952134847301973
148,0.38212554638618246
149,0.3788585586448096
150,0.38193489045903767
151,0.3797040891154329
152,0.38428574273500976
153,0.3765083906968921
154,0.37617084059153055
155,0.37767480373717605
156,0.3815445973521301
157,0.3813635937660388
158,0.3871082322507554
159,0.3790528783191785
160,0.3791142743974878
161,0.3842023265673012
162,0.39191198558390006
163,0.38384338623290043
164,0.3905003957099004
165,0.3840721470637499
166,0.38625047302879
167,0.3830652511665069
168,0.38604449038883715
169,0.38540914828809925
170,0.3832515291020271
171,0.38453700877994074
172,0.38585211346977694
173,0.37802921448334204
174,0.37476542170889854
175,0.38095465908584003
176,0.37817264189809496
177,0.37596547955551995
178,0.3889501939381851
179,0.38532114459724887
180,0.3760615841879189
181,0.3846822532054881
182,0.38247945786655546
183,0.3886678139804263
184,0.3857512268109573
185,0.37974441992880686
186,0.3776058556309601
187,0.38577457649867364
188,0.38076621322893855
189,0.3812843149981615
190,0.3878836744730621
191,0.3772986394611004
192,0.38475587586676185
193,0.3812827800426564
194,0.38809326729248833
195,0.386037783141764
196,0.3859059446381678
197,0.38592621784267195
198,0.379542957475518
199,0.3824136772677258
200,0.37654432327842735
201,0.38689078005834376
202,0.38111189274584606
203,0.38645826784354964
204,0.3821302380986061
205,0.3850923759850904
206,0.3807861076502705
207,0.37636352307939736
208,0.3889600121656558
209,0.38391845459181173
210,0.385980124830295
211,0.38348005068987984
212,0.37871300521171014
213,0.3844298002450244
214,0.382502028072411
215,0.38075807748756524
216,0.38284923314122415
217,0.3752087759256453
218,0.38317711276289823
219,0.38553891781313326
220,0.38359372798528774
221,0.37505724338225754
222,0.38145112124546343
223,0.3819546142508769
224,0.3939514706539738
225,0.3873389332196232
226,0.37622430032154486
227,0.3819241266529178
228,0.39090417568286134
229,0.3804334604726734
230,0.38135377182929286
231,0.38172028115060225
232,0.3928018509907844
233,0.3813140290227042
234,0.38704791743264194
235,0.38071286683653366
236,0.38740060773212776
237,0.3762418161859625
238,0.38080275364304333
239,0.38802150769974064
240,0.376217909067041
241,0.3783365084232026
242,0.38356088244797226
243,0.38562161470791567
244,0.38346885782740175
245,0.37456109734348864
246,0.38983813355315544
247,0.3888450226642329
248,0.39449615575358793
249,0.3842393240232322
250,0.3855284483112548
251,0.3835297553614273
252,0.3821124962142264
253,0.3833193301191103
254,0.3848012928538428
255,0.38575109450313577
256,0.3823668040984071
257,0.3789500071375894
258,0.384220330553366
259,0.3812671670919289
260,0.391185471473825
261,0.3813839656618955
262,0.37933512834148303
263,0.3843136418685703
264,0.381712056910051
265,0.38123681515012375
266,0.385966815344258
267,0.38823550597098583
268,0.38175957793497783
269,0.39006424227993314
270,0.3912271459510145
271,0.3824318322669841
272,0.39007628796299953
273,0.3886030409450377
274,0.38158013845655625
275,0.38371119423033007
276,0.3859686229496286
277,0.3909886197367855
278,0.3900819919717739
279,0.38918452195057324
280,0.38781217048368216
281,0.38218955967696566
282,0.3875972386590935
283,0.3786425399763446
284,0.3857861395161683
285,0.3878084675753812
286,0.37660113758175534
287,0.3864370224516224
288,0.387185992386415
289,0.38214747871014154
290,0.389519056250646
291,0.38292866537014736
292,0.380657734037545
293,0.37863760967372395
294,0.3802189854504949
295,0.38372574868102016
296,0.3941199925726315
297,0.38884244675582585
