,rmse
0,0.9712420704940599
1,0.9549501080332179
2,0.9911387704758756
3,0.9710219666197895
4,0.9959231489643632
5,0.9581700215762787
6,0.9934898277459482
7,0.9569084675562322
8,0.982386343364433
9,0.9925828850857795
10,1.0065844482872592
11,0.9696314640637048
12,1.0015758603589646
13,0.9872440881146274
14,0.9684541119052342
15,0.9670978215865719
16,0.9543520161385675
17,0.979033461851252
18,0.9776664250404958
19,0.940834410973272
20,0.9645979253535433
21,0.9354316996023385
22,0.9527276791551623
23,1.0391230103078277
24,0.9790735938733481
25,0.9861198010497897
26,1.0019155698244095
27,0.9965995841401897
28,0.9693075447269875
29,0.9716789327926763
30,0.9605500209238419
31,0.9829102665697464
32,0.950017825697274
33,0.9723219567714109
34,0.9652928831846379
35,0.9562207266408039
36,0.9732294888509809
37,0.9653849631480544
38,0.9804515583435807
39,0.976401944610754
40,0.9929969648639129
41,0.9397110161313448
42,0.9548662038336192
43,0.9887056492185988
44,1.0110711403889492
45,0.97930330897963
46,0.9857506885549746
47,0.9682521407627489
48,1.0071401144345737
49,0.9896525764142206
50,0.9614342769361898
51,0.9735378023312743
52,0.9685129117690687
53,0.9967641563196826
54,0.9711490207130974
55,0.9883257860616846
56,0.9834853974854318
57,1.021010448019715
58,0.9430720032662958
59,0.990559796842177
60,0.9903264114853464
61,0.9831259313473732
62,0.9669261540608899
63,0.9862296345999909
64,0.9850739567245346
65,0.9802754169437378
66,0.9596681305821574
67,0.9939142789309865
68,0.9838156558362179
69,1.0010310549965173
70,0.9563891074370227
71,0.9683696171358551
72,0.979917934146646
73,0.9709720623343441
74,0.9640481356751671
75,0.994966810917842
76,0.9725718243275793
77,0.9547163748316809
78,0.9957269969264708
79,1.001747843231391
80,0.9697462117990977
81,0.9649082185247037
82,0.9687217694254073
83,0.9535019901749902
84,0.9517378342376731
85,0.987155694428857
86,0.9645068077502712
87,0.9749992633682008
88,0.979187883191807
89,0.9609099126022792
90,0.9799686652139729
91,0.9730098114727046
92,0.9626182943358186
93,0.9521022321880134
94,0.9596770305238546
95,0.9716078831882357
96,0.9637652869776712
97,1.0003810029123081
98,0.9734055422552007
99,0.9997530120523941
100,0.9752661850211398
101,0.9793294081398062
102,0.9950355488909792
103,0.9845792458813099
104,0.9702259971011156
105,0.9568880789886292
106,1.0167742592786404
107,0.9651119484180348
108,0.9621843826433935
109,0.9641927371133369
110,0.9757921672730193
111,0.9583543875408685
112,0.9542645160022806
113,0.9711743870227619
114,0.9693162593525837
115,0.9813319438040241
116,0.927245237678713
117,0.974110684147129
118,0.9864846023755023
119,0.9798877066324617
120,0.9754283708563006
121,0.986367198690057
122,0.9828114034382852
123,0.9934486534230832
124,0.9771867914165486
125,0.9543135350390488
126,1.0111066227446595
127,0.9765075038735176
128,0.9615235266463669
129,1.0079987843570806
130,0.9549155593169604
131,0.9962776347987663
132,0.9878057926460433
133,1.0065638528469671
134,0.9671503239834238
135,0.9625872029794312
136,1.0254582236932648
137,0.9394763708438272
138,0.993573566199861
139,0.9658921916081482
140,0.9284756461841581
141,1.0011475627300097
142,0.9987432995594463
143,0.9860682794603078
144,0.970174783662796
145,0.9436029097999639
146,0.978185859759966
147,0.9649977280213998
